,record_num,id,latitude,longitude,occupancy_status,current_status,bikes_allowed,headsign,bearing,current_stop_sequence,updated_at
643,644,y3263,42.33212654,-71.07538204,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,51.0,5,2024-07-25 12:10:46-04:00
644,645,y3237,42.33032396,-71.08337338,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,22.0,2,2024-07-25 12:10:46-04:00
645,646,y3204,42.33223351,-71.07990749,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,131.0,4,2024-07-25 12:10:48-04:00
646,647,y3202,42.36521671,-71.10377157,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,241.0,18,2024-07-25 12:10:47-04:00
647,648,y1834,42.36534361,-71.10343658,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,18,2024-07-25 12:10:40-04:00
648,649,y3286,42.37118471,-71.11431933,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,327.0,23,2024-07-25 12:10:58-04:00
649,650,y3272,42.34362581,-71.08572802,FULL,IN_TRANSIT_TO,1,Nubian,192.0,14,2024-07-25 12:10:52-04:00
650,651,y3264,42.35012994,-71.08908251,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,122.0,11,2024-07-25 12:10:58-04:00
651,652,y3263,42.33299176,-71.07413784,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,39.0,6,2024-07-25 12:10:58-04:00
652,653,y3237,42.33067113,-71.0830465,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,50.0,2,2024-07-25 12:10:57-04:00
653,654,y3204,42.33221465,-71.07987711,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,4,2024-07-25 12:10:51-04:00
654,655,y3202,42.36531282,-71.10374538,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,18,2024-07-25 12:10:57-04:00
655,656,y1834,42.36534361,-71.10343658,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,18,2024-07-25 12:10:40-04:00
656,657,y3286,42.37163259,-71.11482684,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,319.0,23,2024-07-25 12:11:08-04:00
657,658,y3272,42.34346115,-71.08587906,FULL,IN_TRANSIT_TO,1,Nubian,179.0,14,2024-07-25 12:11:06-04:00
658,659,y3264,42.34986948,-71.08900752,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,135.0,11,2024-07-25 12:11:09-04:00
659,660,y3263,42.33346801,-71.073689,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,40.0,6,2024-07-25 12:11:08-04:00
660,661,y3237,42.33097078,-71.08284255,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,38.0,2,2024-07-25 12:11:09-04:00
661,662,y3204,42.33217544,-71.07978599,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,123.0,4,2024-07-25 12:11:06-04:00
662,663,y3202,42.36531282,-71.10374538,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,18,2024-07-25 12:10:57-04:00
663,664,y1834,42.36506,-71.10339,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,315.0,18,2024-07-25 12:10:56-04:00
664,665,y3286,42.37195191,-71.11536354,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,331.0,23,2024-07-25 12:11:19-04:00
665,666,y3272,42.34341679,-71.08587963,FULL,IN_TRANSIT_TO,1,Nubian,0.0,14,2024-07-25 12:11:11-04:00
666,667,y3264,42.34980824,-71.08901911,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,0.0,11,2024-07-25 12:11:13-04:00
667,668,y3263,42.33341644,-71.07361228,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,6,2024-07-25 12:11:20-04:00
668,669,y3237,42.33127298,-71.08247954,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,34.0,2,2024-07-25 12:11:18-04:00
669,670,y3204,42.33169337,-71.07860867,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,115.0,4,2024-07-25 12:11:16-04:00
670,671,y3202,42.36537665,-71.10375998,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,18,2024-07-25 12:11:17-04:00
671,672,y1834,42.36506,-71.10339,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,315.0,18,2024-07-25 12:10:56-04:00
672,673,y3286,42.37210249,-71.11545082,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,289.0,23,2024-07-25 12:11:27-04:00
673,674,y3272,42.34326609,-71.08564756,FULL,IN_TRANSIT_TO,1,Nubian,153.0,14,2024-07-25 12:11:28-04:00
674,675,y3264,42.34977241,-71.0890105,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,0.0,11,2024-07-25 12:11:22-04:00
675,676,y3263,42.33341644,-71.07361228,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,6,2024-07-25 12:11:20-04:00
676,677,y3237,42.33155637,-71.08228767,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,336.0,2,2024-07-25 12:11:29-04:00
677,678,y3204,42.33132352,-71.07745821,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,115.0,5,2024-07-25 12:11:28-04:00
678,679,y3202,42.36562522,-71.10411228,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,309.0,18,2024-07-25 12:11:29-04:00
679,680,y1834,42.36525678,-71.10345883,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,18,2024-07-25 12:11:24-04:00
680,681,y3286,42.3721566,-71.11563521,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,309.0,23,2024-07-25 12:11:40-04:00
681,682,y3272,42.34261435,-71.08475238,FULL,STOPPED_AT,1,Nubian,135.0,14,2024-07-25 12:11:39-04:00
682,683,y3264,42.34977093,-71.089003,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,0.0,11,2024-07-25 12:11:38-04:00
683,684,y3263,42.3332,-71.0738,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,45.0,6,2024-07-25 12:11:38-04:00
684,685,y3237,42.33167814,-71.08223523,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,31.0,3,2024-07-25 12:11:40-04:00
685,686,y3204,42.33130646,-71.07741633,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,5,2024-07-25 12:11:32-04:00
686,687,y3202,42.36584,-71.10445,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,315.0,19,2024-07-25 12:11:38-04:00
687,688,y1834,42.3653227,-71.10356412,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,310.0,18,2024-07-25 12:11:36-04:00
688,689,y3286,42.37259846,-71.11622558,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,242.0,23,2024-07-25 12:11:51-04:00
689,690,y3272,42.34248509,-71.08467518,FULL,STOPPED_AT,1,Nubian,141.0,14,2024-07-25 12:11:48-04:00
690,691,y3264,42.34943048,-71.08888209,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,162.0,11,2024-07-25 12:11:52-04:00
691,692,y3263,42.3332,-71.0738,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,45.0,6,2024-07-25 12:11:38-04:00
692,693,y3237,42.3319433,-71.08183556,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,43.0,3,2024-07-25 12:11:49-04:00
693,694,y3204,42.33126754,-71.07740146,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,5,2024-07-25 12:11:45-04:00
694,695,y3202,42.36629306,-71.10516363,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,312.0,19,2024-07-25 12:11:46-04:00
